,Name,Rating,Reviews,Head_Quarters,No_of_Jobs
0,TCS,3.3,1.1L,IT Services & Consulting | Bengaluru +441 other locations,10.1L
1,Accenture,3.7,73.1k,IT Services & Consulting | Bengaluru +259 other locations,6.9L
2,Wipro,3.6,64.8k,IT Services & Consulting | Hyderabad +372 other locations,4.9L
3,Cognizant,3.7,61.1k,IT Services & Consulting | Hyderabad +231 other locations,6L
4,Capgemini,3.6,53k,IT Services & Consulting | Bengaluru +180 other locations,4.9L
5,HDFC Bank,3.8,52k,Banking | Mumbai +1843 other locations,1.5L
6,Infosys,3.5,48.5k,IT Services & Consulting | Bengaluru +243 other locations,5.3L
7,HCLTech,3.4,45.8k,IT Services & Consulting | Chennai +231 other locations,3.9L
8,ICICI Bank,4.0,45.7k,Banking | Mumbai +1442 other locations,1.5L
9,Tech Mahindra,3.4,43k,IT Services & Consulting | Hyderabad +322 other locations,2.9L
10,Genpact,3.6,42k,Analytics & KPO | Hyderabad +181 other locations,2.4L
11,TP,3.8,38.2k,BPO | Mumbai +254 other locations,98.2k
12,Jio,4.4,33.5k,Telecom | Mumbai +1956 other locations,62k
13,Axis Bank,3.6,33k,Banking | Mumbai +1516 other locations,1L
14,Concentrix Corporation,3.6,32.1k,BPO | Bengaluru +181 other locations,1.3L
15,Amazon,3.9,31.3k,Internet | Bengaluru +515 other locations,1.5L
16,Reliance Retail,3.9,27.2k,Retail | Mumbai +1157 other locations,75.8k
17,iEnergizer,4.6,26.9k,BPO | Noida +51 other locations,24.7k
18,LTIMindtree,3.6,26.3k,IT Services & Consulting | Bengaluru +144 other locations,2L
19,IBM,3.9,25.7k,IT Services & Consulting | Bengaluru +161 other locations,2.2L
20,HDB Financial Services,3.9,25.5k,NBFC | Mumbai +1090 other locations,49.7k
21,Larsen & Toubro Limited,3.9,23.8k,Engineering & Construction | Chennai +761 other locations,76.2k
22,Deloitte,3.7,23k,Management Consulting | Hyderabad +182 other locations,2.6L
23,Kotak Mahindra Bank,3.6,22.3k,Banking | Mumbai +689 other locations,86.9k
24,Reliance Industries,4.0,20.1k,Oil & Gas | Jamnagar +819 other locations,73.6k
25,Vodafone Idea,3.9,17.5k,Telecom | Pune +704 other locations,49.3k
26,Bharti Airtel,3.8,17k,Telecom | Gurugram +788 other locations,50.1k
27,BYJU'S,3.2,16.3k,EdTech | Bengaluru +321 other locations,50.7k
28,WNS,3.3,15.1k,IT Services & Consulting | Pune +65 other locations,70.5k
29,Ernst & Young,3.4,14.5k,Management Consulting | Bengaluru +134 other locations,1.5L
30,IDFC FIRST Bank,3.9,14.5k,Banking | Mumbai +724 other locations,49.8k
31,IndusInd Bank,3.4,14.2k,Banking | Mumbai +796 other locations,52.2k
32,AU Small Finance Bank,3.8,14.1k,Banking | Jaipur +798 other locations,29.8k
33,Tata Motors,4.1,14.1k,Automobile | Pune +507 other locations,43k
34,Muthoot FinCorp,4.6,13.1k,NBFC | Bengaluru +1120 other locations,9.2k
35,Bajaj Finserv,4.0,13k,NBFC | Pune +1190 other locations,31.2k
36,Flipkart,3.9,12.9k,Internet | Bengaluru +553 other locations,55.6k
37,PwC,3.3,12.5k,Management Consulting | Bengaluru +135 other locations,1.2L
38,Mahindra & Mahindra,4.0,12k,Automobile | Pune +565 other locations,40.9k
39,Infosys BPM,3.5,12k,BPO | Bengaluru +95 other locations,76k
40,HDFC Life,3.9,12k,Insurance | Mumbai +712 other locations,33.3k
41,DXC Technology,3.6,11.9k,IT Services & Consulting | Bengaluru +130 other locations,74.8k
42,Bandhan Bank,3.7,11k,Banking | Kolkata +1006 other locations,25.2k
43,Digitide Solutions,3.5,10.3k,IT Services & Consulting | Hyderabad +272 other locations,26.8k
44,Mphasis,3.3,10.2k,IT Services & Consulting | Bengaluru +64 other locations,74.7k
45,Yes Bank,3.7,10.1k,Banking | Mumbai +541 other locations,42.6k
46,Tata Steel,4.0,9.8k,Iron & Steel | Jamshedpur +226 other locations,34.7k
47,Quess,3.8,9.7k,Recruitment | Bengaluru +755 other locations,31.3k
48,Asian Paints,3.9,9.5k,Chemicals | Mumbai +556 other locations,26.3k
49,Maruti Suzuki,4.1,9.5k,Automobile | Gurugram +455 other locations,28.3k
50,Startek,3.1,9.4k,BPO | Bengaluru +103 other locations,25k
51,UltraTech Cement,4.2,9.4k,Building Material | Mumbai +538 other locations,25.2k
52,Paytm,3.2,9.3k,FinTech | Noida +422 other locations,34.5k
53,Bajaj Finance,3.9,9.1k,NBFC | Pune +992 other locations,23.1k
54,Shriram Finance,3.9,9.1k,NBFC | Chennai +1117 other locations,15.4k
55,Sutherland Global Services,3.4,9k,BPO | Chennai +82 other locations,35.5k
56,Equitas Small Finance Bank,4.4,8.8k,Banking | Chennai +483 other locations,13.9k
57,Wells Fargo,3.6,8.6k,Financial Services | Bengaluru +27 other locations,61.9k
58,EXL Service,3.6,8.6k,Analytics & KPO | Noida +61 other locations,44.9k
59,Cipla,4.1,8.6k,Pharma | Mumbai +294 other locations,26.4k
60,Ericsson,3.9,8.4k,Telecom | Noida +160 other locations,42.8k
61,Samsung,3.9,8.3k,Consumer Electronics & Appliances | Noida +581 other locations,26.5k
62,Dr. Reddy's,4.0,8.2k,Pharma | Hyderabad +214 other locations,26k
63,Optum Global Solutions,4.0,7.9k,IT Services & Consulting | Hyderabad +68 other locations,50.7k
64,JSW Steel,3.9,7.8k,Iron & Steel | Ballari +198 other locations,31.6k
65,JPMorgan Chase & Co.,3.8,7.8k,Financial Services | Bengaluru +55 other locations,90.4k
66,Delhivery,3.8,7.8k,Logistics | Gurugram +760 other locations,22.5k
67,ICICI Prudential Life Insurance,3.9,7.7k,Insurance | Mumbai +508 other locations,22.9k
68,Hexaware Technologies,3.4,7.7k,IT Services & Consulting | Chennai +69 other locations,54.9k
69,Ujjivan Small Finance Bank,4.0,7.6k,Banking | Bengaluru +538 other locations,13.3k
70,Jana Small Finance Bank,3.7,7.6k,Banking | Bengaluru +422 other locations,14.6k
71,Sun Pharmaceutical Industries,4.1,7.6k,Pharma | Vadodara +263 other locations,23.7k
72,HGS,3.7,7.5k,Emerging Technologies | Bengaluru +122 other locations,20.5k
73,Amazon Development Centre India,3.8,7.5k,Internet | Hyderabad +147 other locations,39.1k
74,Zydus Lifesciences,4.0,7.4k,Pharma | Ahmedabad +180 other locations,20.1k
75,Ekart Logistics,3.9,7.4k,Logistics | Bengaluru +739 other locations,16.6k
76,Lupin,4.1,7.3k,Pharma | Pune +203 other locations,22.5k
77,KPMG India,3.4,7.3k,Management Consulting | Bengaluru +112 other locations,67.7k
78,L&T Construction,4.0,7.3k,Engineering & Construction | Chennai +435 other locations,19.2k
79,Hindustan Unilever,4.2,7.2k,FMCG | Mumbai +543 other locations,20.2k
80,Axis Max Life Insurance,4.0,7.1k,Insurance | New Delhi +505 other locations,20.2k
81,ITC,3.9,7.1k,FMCG | Bengaluru +378 other locations,24.9k
82,Megha Engineering & Infrastructures,3.9,6.9k,Engineering & Construction | Hyderabad +407 other locations,18.6k
83,Coforge,3.3,6.8k,IT Services & Consulting | Noida +103 other locations,50.8k
84,Tata Projects,4.2,6.8k,Engineering & Construction | Mumbai +284 other locations,22.6k
85,Bajaj Life Insurance,3.8,6.6k,Insurance | Pune +616 other locations,17.8k
86,Cholamandalam Investment & Finance,3.8,6.6k,Financial Services | Chennai +861 other locations,12.8k
87,L&T Technology Services,3.1,6.6k,IT Services & Consulting | Bengaluru +94 other locations,44.3k
88,FIS,3.8,6.6k,FinTech | Pune +59 other locations,39.1k
89,Oracle,3.4,6.5k,Software Product | Bengaluru +56 other locations,64k
90,Omega Healthcare,3.8,6.4k,BPO | Chennai +69 other locations,27.5k
91,JLL,4.1,6.4k,Real Estate | Gurugram +86 other locations,24.9k
92,Muthoot Finance,3.7,6.3k,NBFC | Bengaluru +791 other locations,13.1k
93,IIFL Finance,4.0,6.3k,NBFC | Mumbai +807 other locations,14.1k
94,eClerx,3.1,6.3k,IT Services & Consulting | Pune +32 other locations,32.9k
95,Indian Army,4.7,6.2k,Defence & Aerospace | New Delhi +360 other locations,9.4k
96,Virtusa Consulting Services,3.7,6.1k,IT Services & Consulting | Hyderabad +55 other locations,57.3k
97,DMart,3.9,6.1k,Retail | Mumbai +254 other locations,18.9k
98,HCL Group,3.5,6.1k,IT Services & Consulting | Chennai +96 other locations,39.2k
99,PolicyBazaar,3.8,6k,Internet | Gurugram +154 other locations,17.9k
100,HSBC Group,3.8,6k,Financial Services | Bengaluru +63 other locations,44.5k
101,Piramal Finance,4.2,6k,NBFC | Mumbai +427 other locations,12.3k
102,Indiamart Intermesh,3.5,5.9k,Internet | Noida +169 other locations,21.8k
103,SMFG India Credit,3.9,5.9k,NBFC | Mumbai +601 other locations,11k
104,Access Healthcare,3.7,5.9k,BPO | Chennai +62 other locations,29.4k
105,BigBasket,3.9,5.8k,Internet | Bengaluru +143 other locations,19.5k
106,Siemens,3.9,5.8k,Industrial Automation | Bengaluru +155 other locations,34.6k
107,Aurobindo Pharma,4.0,5.8k,Pharma | Hyderabad +115 other locations,20.6k
108,ICICI Lombard General Insurance Company,3.5,5.8k,Insurance | Mumbai +320 other locations,20.1k
109,GlobalLogic,3.5,5.7k,IT Services & Consulting | Hyderabad +61 other locations,41.4k
110,Manappuram Finance,3.9,5.7k,NBFC | Bengaluru +660 other locations,9.1k
111,Firstsource Solutions,3.5,5.7k,BPO | Bengaluru +74 other locations,24.7k
112,Tata Capital,4.0,5.7k,NBFC | Mumbai +449 other locations,16.1k
113,Udaan,3.9,5.7k,Internet | Bengaluru +366 other locations,15.5k
114,Standard Chartered,3.6,5.7k,Banking | Chennai +68 other locations,42.4k
115,Shapoorji Pallonji Group,4.1,5.7k,Engineering & Construction | Mumbai +189 other locations,15.6k
116,UST,3.7,5.7k,IT Services & Consulting | Bengaluru +52 other locations,40.1k
117,Apollo Hospitals,4.0,5.6k,Healthcare | Chennai +225 other locations,16.8k
118,Bosch Global Software Technologies,3.7,5.6k,IT Services & Consulting | Bengaluru +47 other locations,41.1k
119,Mahindra Finance,3.9,5.6k,NBFC | Mumbai +736 other locations,12.3k
